,title,author,day,genre,story,platform,webtoon_url,thumbnail_url
0,천연 天緣,"ALIC,ALIC",X(완결),판타지 드라마,"되돌릴 수 없는 과거와
얽혀버린 현재.
계속 변해가는 미래.",카카오,https://webtoon.kakao.com/content/천연-天緣/869,https://kr-a.kakaopagecdn.com/P/C/869/c1/2x/0f3e8429-ff1a-44d0-acdb-d6483115f438.png
1,십이야,"무류,무류",X(완결),로맨스,"가국에서 펼쳐지는
뒤틀린 운명의
판타지 로맨스",카카오,https://webtoon.kakao.com/content/십이야/865,https://kr-a.kakaopagecdn.com/P/C/865/c1/2x/2ecbb39d-0804-4353-82bb-76e02ad96188.png
2,골드핸즈,"박하,박하",X(완결),로맨스,"미술 천재와 
스타 작가의 
비밀스러운 프로젝트",카카오,https://webtoon.kakao.com/content/골드핸즈/2117,https://kr-a.kakaopagecdn.com/P/C/2117/c1/2x/f5cb9095-00c4-46b8-9fe7-6f730a66ff8b.png
3,그 아해,"권계림,권계림",X(완결),공포/스릴러,"한 정신과 환자를
마주친 뒤로
이상한 일이 벌어진다",카카오,https://webtoon.kakao.com/content/그-아해/2133,https://kr-a.kakaopagecdn.com/P/C/2133/c1/2x/aa7d7d02-bbf7-45dc-a525-96f493e44740.png
4,러브 스트리밍,"마영신,권다희",X(완결),드라마,"모든 건 실시간이야.
사랑도 돈도 
인생 전부 다.",카카오,https://webtoon.kakao.com/content/러브-스트리밍/2064,https://kr-a.kakaopagecdn.com/P/C/2064/c1/2x/361bb1b7-57f9-4c52-9b3d-ffa9b6ab018c.png
5,묘진전,"젤리빈,젤리빈",X(완결),판타지 드라마,"하늘로 돌아가고 싶은
남자 묘진,
그의 기묘한 이야기",카카오,https://webtoon.kakao.com/content/묘진전/1031,https://kr-a.kakaopagecdn.com/P/C/1031/c1/2x/3971b31a-83c4-4c84-9b0f-6cf0b0e5df9b.png
6,괜찮아 애송이 완전판,"진아,진아",X(완결),코믹/일상,"평범한 듯 안 평범한
엉뚱발랄 애송이 라이프",카카오,https://webtoon.kakao.com/content/괜찮아-애송이-완전판/3037,https://kr-a.kakaopagecdn.com/P/C/3037/c1/2x/2f10df21-ef91-4305-ae65-2d8fe3466333.png
7,독고3 [완전판],"민(meen),백승훈",X(완결),액션/무협,"독고 시리즈 중
가장 처절한
이야기가 펼쳐진다.",카카오,https://webtoon.kakao.com/content/독고3-완전판/2306,https://kr-a.kakaopagecdn.com/P/C/2306/c1/2x/dbebbe32-8fd9-49f8-ac93-111936bd8ced.png
8,악녀의 탄생,"TB,TB",X(완결),로맨스 판타지,"절망 속에서 만난
세 명의 남자.
그녀의 선택은?",카카오,https://webtoon.kakao.com/content/악녀의-탄생/2049,https://kr-a.kakaopagecdn.com/P/C/2049/c1/2x/67bc1dc8-2259-449d-89ef-cbef49e042c9.png
9,헤븐 투 헬,"김종훈,김종훈",X(완결),학원/판타지,"단테의 신곡 속 세계관
배경에서 펼쳐지는
성인 액션 판타지!",카카오,https://webtoon.kakao.com/content/헤븐-투-헬/1336,https://kr-a.kakaopagecdn.com/P/C/1336/c1/2x/1fc3c780-226b-4a70-a880-8ea63c638f34.png
10,라이온 퀸,"송백,송백",X(완결),드라마,"사이다 가득한 
신입의 고군분투 
회사 생존기",카카오,https://webtoon.kakao.com/content/라이온-퀸/3126,https://kr-a.kakaopagecdn.com/P/C/3126/c1/2x/b41ab445-aec6-48cc-bca9-7fccc6c58f41.png
11,나를 기억하나요,"히가시무라 아키코,히가시무라 아키코",X(완결),로맨스,"내 어린 시절 첫사랑,
만나서 물어보고 싶어.
""나를 기억하나요?""",카카오,https://webtoon.kakao.com/content/나를-기억하나요/2718,https://kr-a.kakaopagecdn.com/P/C/2718/c1/2x/6ccec3b4-043a-4cd2-abb1-98c602f9061b.png
12,간지몬스터,"삼준(WHYNOTME),얼갈이",X(완결),학원/판타지,"부캐는 월드스타
본캐는 공식셔틀
오늘부터 간지남의 시작",카카오,https://webtoon.kakao.com/content/간지몬스터/2619,https://kr-a.kakaopagecdn.com/P/C/2619/c1/2x/cf15f687-3ce8-464c-a3d3-b07ff5a463c4.png
13,따라바람,"검둥,검둥",X(완결),로맨스,"돈독한 절친 사이에
진상이 찾아왔다.
둘의 우정은 유지될까?",카카오,https://webtoon.kakao.com/content/따라바람/3036,https://kr-a.kakaopagecdn.com/P/C/3036/c1/2x/fd9ea1a2-dbcd-4e4c-bb24-59199f6e9a04.png
