Unnamed: 0,title,author,day,genre,story,platform,webtoon_url,thumbnail_url
0,열 손가락,"디디,디디",토,공포/스릴러,"무당 집안의
제물 사위가 되어
기이한 삶을 체험한다.",카카오,https://webtoon.kakao.com/content/열-손가락/3028,https://kr-a.kakaopagecdn.com/P/C/3028/c1/2x/20cef2a2-ce87-485d-a330-9556951e0dc9.png
1,사적취향,"백하나,지미",토,로맨스,"이 남자,
짜증날 정도로
내 취향이다!",카카오,https://webtoon.kakao.com/content/사적취향/3068,https://kr-a.kakaopagecdn.com/P/C/3068/c1/2x/fc10c4ab-d11b-4ad3-ab12-7813ca8fb727.png
2,그때 우리가 조아한,"YOON,움비",토,판타지 드라마,"갑자기 20년 전
소설 속 세계로 떨어진
전직 작가 조아한",카카오,https://webtoon.kakao.com/content/그때-우리가-조아한/2690,https://kr-a.kakaopagecdn.com/P/C/2690/c1/2x/c049089e-722c-42ff-abf6-55dbc4f8b871.png
3,"구애, 여우를 홀리다","ALIC,ALIC",토,로맨스 판타지,"미래를 바꿀 것이다,
나를 능욕하는
이 요물을 홀려서라도.",카카오,https://webtoon.kakao.com/content/구애-여우를-홀리다/3050,https://kr-a.kakaopagecdn.com/P/C/3050/c1/2x/f1d74670-9184-4ba0-a637-0db25ade157a.png
4,주말 도미 시식회,"이용우,이용우",토,액션/무협,"소소한 삶을 지키라!
그들의 전쟁
느와르 액션 끝판왕!",카카오,https://webtoon.kakao.com/content/주말-도미-시식회/1497,https://kr-a.kakaopagecdn.com/P/C/1497/c1/2x/74ad7259-cf12-4b5f-b269-aa94836cd607.png
5,백작가의 불청객들,"아르누니,아르누니",토,드라마,"진실된 사랑과
평화를 찾아가는
필데트 백작 가족",카카오,https://webtoon.kakao.com/content/백작가의-불청객들/2141,https://kr-a.kakaopagecdn.com/P/C/2141/c1/2x/626656c0-9374-431f-80cf-724db64dd7b0.png
6,이토록 보통의,"캐롯,캐롯",토,판타지 드라마,"우리 모두의 삶
특별하지만,
보통 우리의 연애",카카오,https://webtoon.kakao.com/content/이토록-보통의/1351,https://kr-a.kakaopagecdn.com/P/C/1351/c1/2x/6e52bf38-c253-4021-9a9e-183a32739471.png
7,후궁공략,"봉봉,봉봉",토,로맨스 판타지,"가상현실 속에 갇혔다,
돌아갈 방법은
황후 엔딩 뿐!",카카오,https://webtoon.kakao.com/content/후궁공략/1986,https://kr-a.kakaopagecdn.com/P/C/1986/c1/2x/41f4544c-3e2f-47fb-b958-da6c99b456f3.png
8,반지하셋방,"평범한 자매,평범한 자매",토,코믹/일상,"이것이 리얼이다!
반지하에 살고 있는
자매의 좌충우돌 일상툰",카카오,https://webtoon.kakao.com/content/반지하셋방/1347,https://kr-a.kakaopagecdn.com/P/C/1347/c1/2x/919a077d-0aea-49ad-8b24-f082a75890d0.png
9,귀싸대기,"지뚱,지뚱",토,판타지 드라마,"천태평입니다
귀싸대기 한 방 돌리고
시작하겠습니다",카카오,https://webtoon.kakao.com/content/귀싸대기/2626,https://kr-a.kakaopagecdn.com/P/C/2626/c1/2x/50de877c-a1c4-4f12-a2d7-5f138ce53903.png
