id,title,author,day,genre,story,platform,webtoon_url,thumbnail_url
0,빛나는 손을,강은영,X(완결),로맨스,혼자에서 우리가 되기 위해 세상으로 뛰쳐 나온 한 소녀의 이야기,네이버,https://comic.naver.com/webtoon/list?titleId=802882,https://shared-comic.pstatic.net/thumb/webtoon/802882/thumbnail/thumbnail_IMAG06_8735d32d-b0be-4060-a2f4-ed6f57c8c592.jpg
1,좀비 파이트,이저녁,X(완결),액션,"이안은 삶이 힘들어질수록 감정을 끄며 버텨낸다.아버지의 폭력과 빚더미 뿐인 집안... 불행은 계속되었고 그의 신체는 점점 무감각해졌다.통증까지 무감각해진 이안은 우연히 불법 격투 현장을 지나가다 제안을 받는다.""경기에 참가하면, 이 바닥에 있는 돈 전부 줄게.""불법 격투 경기장에서 살아남아야만 하는 그의 생존기가 시작된다!",네이버,https://comic.naver.com/webtoon/list?titleId=765157,https://shared-comic.pstatic.net/thumb/webtoon/765157/thumbnail/thumbnail_IMAG06_44a903e3-6052-49e6-9973-1dc6e4f2efa7.jpg
2,클로닝,천정학,X(완결),스릴러,과학자 정대숙은 연구중 의도치 않게 복제인간을 만들고 만다.갑자기 생긴 복제인간으로 인해 그의 인생에 많은 문제가 생기기 시작한다.그로 인해 그의 삶은 점점 꼬이게 되고 결국은 살인사건에 까지 휘말리고 만다.,네이버,https://comic.naver.com/webtoon/list?titleId=794668,https://shared-comic.pstatic.net/thumb/webtoon/794668/thumbnail/thumbnail_IMAG06_bb512c27-17b5-4eec-82b7-e54cf6b054b7.jpg
3,"플레이, 플리",이에프,X(완결),로맨스,내 비밀을 유일하게 아는 아이돌이 같은 과 동기? 아이돌로부터 도착한 수상한 디엠! 우리가 같은 과 동기라는 사실을 너는 알까?,네이버,https://comic.naver.com/webtoon/list?titleId=753853,https://shared-comic.pstatic.net/thumb/webtoon/753853/thumbnail/thumbnail_IMAG06_10338bfb-1133-48d2-b716-693f1548ced1.jpg
4,택배 왔습니다,이한손,X(완결),스릴러,"선호는 풍족하진 않지만 소소한 행복을 즐기며 살아가는 평범한 택배원이다.평소처럼 배달을 하던 그는 배달 장소에서 우연히 10년 전 고등학교 시절자신을 괴롭혔던 준구를 만나게 된다.자신을 못 알아보는 준구를 보며 선호는 안심했지만그의 집에서 살인의 흔적을 발견하게 되고,목격자라는 사실을 들킨다.준구에게 붙잡힌 선호는 다시 10년 전처럼 준구의 심부름을 하게 되는데...",네이버,https://comic.naver.com/webtoon/list?titleId=785583,https://shared-comic.pstatic.net/thumb/webtoon/785583/thumbnail/thumbnail_IMAG06_b66c590a-f243-42e5-8d12-4487fe4b5214.jpg
5,나는 어디에나 있다,김선권,X(완결),스릴러,수많은 사람들이 죽었던  여러 대형사고 현장에 동일 인물이 계속 발견된다. 그게... 기억에 없는 나라면? 그 영상을 보는 순간 평범했던 청년 류준의 일상은 완전히 뒤바뀐다. 과연 류준은 사라진 기억의 비밀을 풀고 평범한 일상을 되찾을 수 있을까...,네이버,https://comic.naver.com/webtoon/list?titleId=771063,https://shared-comic.pstatic.net/thumb/webtoon/771063/thumbnail/thumbnail_IMAG06_837da1ab-108c-42db-b5ac-443c0e60fdfb.jpg
6,10년째 차이는 소꿉친구,님니,X(완결),로맨스,"고백 받고, 차이는 상황이 일상이 된 소꿉친구 율과 시호. 연인으로 발전할 것인가, 친구로 남을 것인가? 두 사람의 코믹로맨스!",네이버,https://comic.naver.com/webtoon/list?titleId=802584,https://shared-comic.pstatic.net/thumb/webtoon/802584/thumbnail/thumbnail_IMAG06_12ff4fb5-0396-4034-b84e-ffc25de09255.jpg
7,생존로그,이노,X(완결),액션,구독자 300만을 자랑하는 위투버 '쌈쏜'은 다섯 명의 BJ들과 함께 무인도 섬에서 방송을 시작한다.  그들은 보다 자극적인 컨텐츠에 욕심이 생겨 섬의 더 깊은 곳으로 들어가고 무인도인줄 알았던 그곳에는 언제 지어졌는지 알 수 없는 낡은 벙커가 있다.  호기심과 두려움이 공존하던 그 때 일행을 위협하는 '무언가'의 습격이 시작된다.,네이버,https://comic.naver.com/webtoon/list?titleId=773027,https://shared-comic.pstatic.net/thumb/webtoon/773027/thumbnail/thumbnail_IMAG06_8db5e803-7fb7-4753-9b01-1f6da06b9794.jpg
8,독신마법사 기숙아파트,"재윤, 기르답",X(완결),로맨스,외교부 문관이 되어 상경한 평범한 아가씨 랑세는 어쩔 수 없는 사정으로 독신 마법사 기숙 아파트에 살게 된다.사고뭉치지만 순수하고 선한 마법사들과정이 넘치는 공무원 랑세의 시끌벅적한 하루하루!,네이버,https://comic.naver.com/webtoon/list?titleId=776143,https://shared-comic.pstatic.net/thumb/webtoon/776143/thumbnail/thumbnail_IMAG06_f165c8a3-69be-4621-a56b-e39b9c0c7241.jpg
9,2022 몰래보는 로맨스,웹툰작가,X(완결),로맨스,몰래 보고 싶고 나만 소장하고 싶은 매운맛 로맨스의 세계.중세 시대 로맨스부터 판타지까지 숨겨놓았던 이야기 대방출! 참을 수 없는 이 분위기...! 혹시... 저만... 좋아요?,네이버,https://comic.naver.com/webtoon/list?titleId=799442,https://shared-comic.pstatic.net/thumb/webtoon/799442/thumbnail/thumbnail_IMAG06_a056da1e-f006-484e-9e21-efb994e97546.jpg
10,무용과 남학생,이호진,X(완결),드라마,"소꿉친구 유연과 함께 하늘예술고등학교에 입학한 시우는 같은 학교 미술과인 나은을 만나게 된다. 서로에게 이성적인 끌림을 느끼는 시우와 나은, 그런 둘을 보며 혼란스러운 감정을 느끼는 유연. 유연을 좋아하는 이준. 시우와 유연은 사랑과 우정 사이에서 불분명하고 미성숙했던 자신의 감정에 대해 깨우쳐간다.",네이버,https://comic.naver.com/webtoon/list?titleId=774853,https://shared-comic.pstatic.net/thumb/webtoon/774853/thumbnail/thumbnail_IMAG06_3143e8f0-168f-4331-b041-26e504923f8d.jpg
11,"화공, 해란","랑땡, 이은비, 개물",X(완결),로맨스,"피맛골의 갓 화공, 서해란. 생계를 위해 사내인 척하며 살아가는 그녀에겐 세 가지 소원이 있다. 할아버지의 건강, 오늘의 끼니, 일생일대의 걸작. 그런 그녀의 앞에 세 가지 소원을 모두 들어줄 수 있는 화선(畵仙) 도예안이 나타난다. “나의 화공이 되어라.” 처음 만났을 때부터, 아니. 꿈에서 보았을 때부터 이미 알고 있었는지도 모르겠다. 이것이 슬픈 운명의 시작이 될 것이란 걸……. 불사의 삶을 끝내고 싶어하는 화선 예안과, 유일하게 그를 죽일 수 있는 화공 해란의 이야기.",네이버,https://comic.naver.com/webtoon/list?titleId=802279,https://shared-comic.pstatic.net/thumb/webtoon/802279/thumbnail/thumbnail_IMAG06_06703000-4697-4f28-a1e1-f832adcb2926.jpg
12,브레이커 (Breaker),"전극진, 박진환",X(완결),액션,"현대를 배경으로 펼쳐지는, 대한민국 최고의 스타일리시 도시 무협 액션!학교폭력 앞에 무기력한 만년 왕따 이시운, 개차반 임시 교사 한천우와 만나 무협의 세계에 발을 들이게 되는데…!약육강식의 논리가 지배하는 현대의 무림에서 펼쳐지는 스타일리시 액션 & 코믹, 개막!",네이버,https://comic.naver.com/webtoon/list?titleId=802562,https://shared-comic.pstatic.net/thumb/webtoon/802562/thumbnail/thumbnail_IMAG06_bf9582e9-c17d-4c80-badd-838b8ea220e2.jpg
13,동생친구,님니,X(완결),로맨스,"사고로 부모님이 돌아가신 후 고등학생인 남동생과 둘이 살고 있는 대학교 3학년 가은.아픔을 겉으로 티내지 않고 밝고 자신감 있게 살고 있다고 본인은 생각 중이다.딱 자기 취향이었던 남자 친구에게 차인 후 더 이상 연애를 하지 않겠다고 생각했지만,어릴 때부터 알고 지내던 아는 동생 도완, 동생의 반 반장 상우,알바 중인 미술학원 수강생 준과 엮이며별안간 연하남들의과 미묘한 분위기가 된다.동생 친구와 결혼하기로 했다며 친구들에게 청첩장을 건네는 가은. 과연 셋 중 누구와 결혼하게 될까...?",네이버,https://comic.naver.com/webtoon/list?titleId=767874,https://shared-comic.pstatic.net/thumb/webtoon/767874/thumbnail/thumbnail_IMAG06_0eb469b8-8149-4883-b1ca-27bfbfd88860.jpg
14,나의 플랏메이트,산삼,X(완결),드라마,해리포터 덕질만이 인생의 큰 기쁨인 피폐한 공시생 건이에게 찾아온 엄청난 행운!럭셔리 퍼스트클래스를 타고 떠난 런던에서 마음껏 덕질해보려고 했는데...그녀에게 찾아온 힘든 시련과 멋지고 잘생긴 룸메이트들?과연 건이는 시련극복과 런던생활을 잘할수 있을것인가!,네이버,https://comic.naver.com/webtoon/list?titleId=762073,https://shared-comic.pstatic.net/thumb/webtoon/762073/thumbnail/thumbnail_IMAG06_56de3f5c-1c71-4d97-a0a8-ec9d7fbf7c13.jpg
15,미친 악마,이에프,X(완결),로맨스,"평범한 대학생인 가린과 수한은 사실 전생에 원수지간이었다!?사밀의 환생 가린, 마한의 환생 수한. 거기다 사밀에게 원한을 품은 구미호 해철까지!전생으로 엮인 셋은 한 하숙집에서 함께 생활하게 된다.기묘한 동거와 함께 시작된 알 수 없는 애틋한 끌림.바람 잘 날 없는 하숙 로맨스가 시작된다!",네이버,https://comic.naver.com/webtoon/list?titleId=802004,https://shared-comic.pstatic.net/thumb/webtoon/802004/thumbnail/thumbnail_IMAG06_b48b3f4c-f1e4-46a1-bd18-e1364142d42d.jpg
16,위대한 유산,"서은수, 0510",X(완결),드라마,"아이를 임신하고 행복한 결혼 생활을 꿈꾸던 주인공 화정.그러나 예비 신랑의 배신으로 그녀의 기대는 산산조각이 나고 만다.모든 것을 잃었다고 생각한 그때, 누군가 화정을 찾아와 뜻밖의 소식을 전한다.천애 고아로 자라온 그녀에게 500억의 유산이 상속되었다는 것.과연 화정은 유산을 받고 행복해질 수 있을까?",네이버,https://comic.naver.com/webtoon/list?titleId=802005,https://shared-comic.pstatic.net/thumb/webtoon/802005/thumbnail/thumbnail_IMAG06_803641b8-1e63-492c-8df9-361e6bb2a17b.jpg
17,수상한 문과장,"벚꽃그리고/은랑호, 이지영",X(완결),로맨스,발칙한 술주정으로 엮여버린 오피스 로맨스네 번째 남자에게 마저 차이고 이별 후유증을 앓고 있는 한시원 대리.매일 한대리의 일처리를 지적하는 비호감 문과장 때문에 자존감까지 바닥이다.쌓일 대로 쌓인 시원은 회식 날 문과장에게 술에 취해 삿대질을 하며 추태를 부리고…시원은 사과를 하려다 그만 문과장에게 말도 안 되는 고백을 하게 된다.당장 고백을 무르고 싶지만 문과장의 수락에 얼떨결에 비밀 사내 연애를 시작하게 된다.,네이버,https://comic.naver.com/webtoon/list?titleId=802034,https://shared-comic.pstatic.net/thumb/webtoon/802034/thumbnail/thumbnail_IMAG06_15f1c05d-7b8f-4fd4-a72d-fe247570ee4a.jpg
18,미래 남편 누구게?,"랑랑랑랑, 금귤",X(완결),로맨스,"우연히 10년 뒤, 미래에서 온 자신의 핸드폰을 줍게 되고 전원을 켤 때마다 바뀌는 배경화면을 통해서 남편을 찾기로 하지만 왠지 새로운 단서를 확인하면 확인할수록 더욱 미궁에 빠지게 되는데...낭만을 꿈꾸는 금사빠 여고생 “양미래”는과연 단서를 통해 남편도 찾고, 핸드폰의 미스테리도 풀 수 있을까?한창 썸타고 싶은 나이에 자신과 결혼한 남편을 찾는 여고생의 청춘 설렘 로맨스 코미디",네이버,https://comic.naver.com/webtoon/list?titleId=802037,https://shared-comic.pstatic.net/thumb/webtoon/802037/thumbnail/thumbnail_IMAG06_319e62f9-944e-4eff-b343-6945376bda44.jpg
19,층간소음,양송,X(완결),스릴러,"계약직 사원인 성실함의 끝판왕 서시우는 드디어 정식 사원으로 입성하는 데 성공한다. 거기에 덤으로 비밀사내연애의 짜릿함까지!이제 자신의 미래를 드디어 꿈꿔볼 수 있게 됐다.그런데 어느날, 자신의 아파트에서 들리기 시작한 진동과 소음! 처음에는 참으려 했으니 그 소음은 이제 도저히 참을 수 없을 정도로 서시우의 삶을 옥죄어 간다.방법은 단 한가지. 정면돌파.용기를 내 위층집을 찾아간 서시우. 그리고 그 현관문이 열리는 순간, 서시우의 몸은 얼어버리고 만다.",네이버,https://comic.naver.com/webtoon/list?titleId=784851,https://shared-comic.pstatic.net/thumb/webtoon/784851/thumbnail/thumbnail_IMAG06_7fcb823e-b02d-40f7-974c-6301380afc2a.jpg
20,갓 오브 하이스쿨,박용제,X(완결),판타지,"전국, 전세계 고등학생 중 가장 쎈 녀석을 뽑는 대회가 열린다.허구 100% 막장 액션의 끝!! 기대하시라!!!",네이버,https://comic.naver.com/webtoon/list?titleId=318995,https://shared-comic.pstatic.net/thumb/webtoon/318995/thumbnail/title_thumbnail_20110407182655_t125x101.jpg
21,거래,우남20,X(완결),스릴러,"고등학교 동창인 준성, 재효, 민우는 오랜만에 만나 술자리를 가진다.얼마 후, 술에 취해 영 정신을 못차리는 민우를 재효의 자취방에서 재우다가 민우의 핸드폰으로 걸려 온 한 통의 전화를 받게된다. 그 후, 얼떨결에 민우의 납치범 행세를 하게된 재효와 준성!그들은 과연 무사히 몸값을 받아낼 수 있을까?",네이버,https://comic.naver.com/webtoon/list?titleId=764022,https://shared-comic.pstatic.net/thumb/webtoon/764022/thumbnail/thumbnail_IMAG06_ace8cb01-8988-4d2b-958e-2fcfa803394a.jpg
22,리트리츠,"신형욱, 김선희",X(완결),드라마,[PUBG UNIVERSE] 세상은 디스토피아.1%의 인류만이 거주할 수 있는 지상낙원 '리트리츠'그 곳의 소년 에드워드는 어느 날 계략에 빠져 슬럼의 소년과 바꿔치기 당하고 만다.나락에 떨어진 그는 모든 것을 되찾기 위해 싸워 살아남아야 한다.,네이버,https://comic.naver.com/webtoon/list?titleId=783552,https://shared-comic.pstatic.net/thumb/webtoon/783552/thumbnail/thumbnail_IMAG06_1b176f3b-b66f-4476-be0a-8b5a75a7d56b.jpg
23,죄송한데 주인공이세요?,조석,X(완결),개그,"꼴찌 성적의 로맨스물을 연재 중인 웹툰 작가 정은하. 인기 있는 만화를 그리고 싶다는 염원을 담아 연필을 집어든 은하는 본인의 만화 속에서 깨어나게 되고기왕 만화 속으로 들어온 거, 내용을 전부 뜯어고쳐서 인기 순위권에 들려 하는데..그렇다면 가장 먼저 해야 할 일은.. 로맨스가 일어나지 않도록 남주를 죽이는 것?!""이 만화는 오늘부터 학원 폭력물로 장르를 바꾼다!!""",네이버,https://comic.naver.com/webtoon/list?titleId=794210,https://shared-comic.pstatic.net/thumb/webtoon/794210/thumbnail/thumbnail_IMAG06_7a6eae35-725f-4749-a860-fa144d5a2797.jpg
24,즐거우리 우리네 인생,현이씨,X(완결),일상,즐거우리 우리네 인생,네이버,https://comic.naver.com/webtoon/list?titleId=801999,https://shared-comic.pstatic.net/thumb/webtoon/801999/thumbnail/thumbnail_IMAG06_2d53cd84-80ae-4dd2-81f1-4d10e410be85.jpg
25,나 홀로 섬에,"신갓김치, 짱9",X(완결),스릴러,"가족과 섬으로 캠핑을 온 '지오'는 폭풍우로 인해 유일하게 사람이 사는 펜션에서 숙식을 해결하기로 하는데, 펜션 직원의 불친절에 불편함을 느끼던 그날 밤 살인사건이 일어난다.",네이버,https://comic.naver.com/webtoon/list?titleId=801740,https://shared-comic.pstatic.net/thumb/webtoon/801740/thumbnail/thumbnail_IMAG06_d8e6cd14-ec46-4601-b0d0-7167b51dc4ec.jpg
26,사장님은 투타임,"Fortune King, 이삼",X(완결),드라마,"사성그룹 사장 김혜나는 붉은 실을 볼 수 있는 최 비서의 도움으로 운명의 상대인 오성그룹 이우영 부회장을 만나게 되고, 우연한 사고로 앙숙이 된 자유로운 영혼의 뮤지션 박희수와도 붉은 실이 연결되어 있다는 사실을 알게 된다. 설상가상 운명의 장난으로혜나는 이 두 사람과의 사랑을 유지해야만 주변 사람이 죽는 불운을 막을 수 있는데, 그녀는 피할 수 없는 운명을 받아들이고사생결단의 각오로 불가능해 보이는 양다리 작전을 수행하게 된다.",네이버,https://comic.naver.com/webtoon/list?titleId=801743,https://shared-comic.pstatic.net/thumb/webtoon/801743/thumbnail/thumbnail_IMAG06_9e039a17-7b20-4b4c-8c1d-e8931443d83d.jpg
27,이번 생도 잘 부탁해,이혜,X(완결),로맨스,"전생을 기억하는 삶은 어떨까? 매번 전생을 기억하는 무료한 삶을 살던 18회차 인생, 윤주원이란 이름으로 살던 12살에 서하를 만나게 된다.특별할 거 없던 그 아이가 무료한 삶을 특별하게 만들어주었지만 교통사고로 18회차 인생이 끝나고 만다.다시 태어난 19회차 인생, 윤주원에서 반지음이란 이름으로 다시 서하를 만나러 간다.",네이버,https://comic.naver.com/webtoon/list?titleId=746858,https://shared-comic.pstatic.net/thumb/webtoon/746858/thumbnail/thumbnail_IMAG06_36376c3c-a0c2-48b6-ae04-98607a4de44c.jpg
28,혼모노트,민수상,X(완결),판타지,"평온했던(?) 교실 안에 갑자기 트럭이 날아 오더니, 순식간에 반 아이들은 이세계로 순간 이동을 한다. 갑자기 등장한 괴생명체에 친구들은 하나, 둘 목숨을 잃어가고 이 위기를 구원할 사람은 이 이야기의 창조자 '덕구' 뿐이다. ""노트를 찢는 순간, 현실이 된다.""",네이버,https://comic.naver.com/webtoon/list?titleId=768471,https://shared-comic.pstatic.net/thumb/webtoon/768471/thumbnail/thumbnail_IMAG06_4e193082-d0e5-4422-8cab-73296b4f980c.jpg
29,온에어,심복일,X(완결),스릴러,"남자친구와의 연애로그로 대박 난 미튜버 아영.50만 구독자 기념 파티 이후 꽃길만 꿈꾸던 아영이지만, 헤어지자는 문자 한마디와 함께 남자친구가 사라지며 냅다 혼자 남게 된다.일과 사랑 두 마리 토끼를 잡기 위해 아영은 남자친구를 되찾을 계획을 세우는데...!",네이버,https://comic.naver.com/webtoon/list?titleId=769664,https://shared-comic.pstatic.net/thumb/webtoon/769664/thumbnail/thumbnail_IMAG06_8980d195-e00a-454e-b856-4782d9a5a9af.jpg
30,침묵의 밤,"한동우, Q-Ha",X(완결),스릴러,[PUBG UNIVERSE] 유명 작가 로건이 의문의 소설을 남기고 죽었다! 그의 딸인 레아는 앞부분만 남은 원고로 아버지 죽음의 진실과 마을 사람들이 감추는 이야기를 파헤쳐 가는데...,네이버,https://comic.naver.com/webtoon/list?titleId=783551,https://shared-comic.pstatic.net/thumb/webtoon/783551/thumbnail/thumbnail_IMAG06_35c7703b-e01f-41e6-88a8-639ae630d351.jpg
31,100,"형은, 최윤열",X(완결),액션,[PUBG UNIVERSE] 국가정보원 천호영은 사라진 의원을 찾기 위해 불법 살인게임 배틀그라운드에 참가한다. 100명의 사형수들 사이에서 벌어지는 서바이벌 액션.,네이버,https://comic.naver.com/webtoon/list?titleId=783549,https://shared-comic.pstatic.net/thumb/webtoon/783549/thumbnail/thumbnail_IMAG06_ee95c7f5-3d3c-4172-b4fc-04a3c8c54374.jpg
32,우주를 아홉번 건너,그냥연어,X(완결),로맨스,9번의 환생 끝에 인간으로 태어난 ‘섬옥’의 목숨을 위협하는 존재들과 그걸 막기 위해수백 년간 섬옥의 곁을 지켜온 산신 ‘묘운’의  지섬옥 무병장수 프로젝트가 시작된다,네이버,https://comic.naver.com/webtoon/list?titleId=801480,https://shared-comic.pstatic.net/thumb/webtoon/801480/thumbnail/thumbnail_IMAG06_de469b1c-39c9-4df7-8996-288222a86fdc.jpg
33,소장,소영,X(완결),일상,"누구나 주변 사람들에게 완전히 이해받지 못할 자기만의 소장용 세계가 있다.이 쓸모없는 행위가 왜 필요한지, 왜 계속되어야 하는지, 그리고 어떤 세상은 이 쓸모없음으로 비로소 생존하고 있음을 말하는 이야기!",네이버,https://comic.naver.com/webtoon/list?titleId=801481,https://shared-comic.pstatic.net/thumb/webtoon/801481/thumbnail/thumbnail_IMAG06_f70c64e2-da2d-4ce0-b424-469473936198.jpg
34,그녀는 가면을 쓴다,"월해, 템푸",X(완결),판타지,"카이엔 백작가의 후계자로서 레인저 부대의 부대장으로 살아가던 브릴리아. 그녀는 동생인 이벨린이 목숨을 잃었다는 소식을 접하고 슬픔에 잠긴다.하지만 그것도 잠시, 그녀는 동생인 이벨린으로 살아가기로 결심하고 배후를 캐나가던 중 적국의 황자 샤펜과 대립하게 된다. 그러다 자신이 브릴리아라는 사실을 들키게 되는데 이상하게도그 이후로 그가 자신을 적극적으로 도와주기 시작한다. 게다가 왕세자인 루이까지 자신을 돕기 시작하는데…….",네이버,https://comic.naver.com/webtoon/list?titleId=801483,https://shared-comic.pstatic.net/thumb/webtoon/801483/thumbnail/thumbnail_IMAG06_a25a5671-9859-4f0d-bb4a-84410022a3d0.jpg
35,기사님을 지켜줘,달봉,X(완결),판타지,"첫눈에 반한 남학생을 떠올리며 언니의 피규어 '브릭'에게 뽀뽀 연습을 하는 '예은'.그날 밤, 이상한 꿈에 눈을 떠보니 피규어가 살아 움직이며 자신의 저주를 풀 수 있도록 도와 달라고 한다.예은은 모종의 이유로 브릭의 부탁을 받아들이고, 저주를 건 마녀에 대한 단서를 찾기 시작한다.",네이버,https://comic.naver.com/webtoon/list?titleId=770590,https://shared-comic.pstatic.net/thumb/webtoon/770590/thumbnail/thumbnail_IMAG06_e1b13584-4d74-47d7-8630-1cea5c42f4d2.jpg
36,남주서치,잔비,X(완결),로맨스,재수생 오설렘은 게임 속에서 만난 이상형 ‘타락엑스칼리’ 에게 푹 빠져 알콩달콩 애정을 쌓던 중…갑작스레 잠수 이별을 당한다.분노의 힘으로 공부를 시작한 설렘은 ‘타락엑스칼리’ 가 다닌다는 명문대 입학에 성공한다!이름도 얼굴도 모르는 ‘타락엑스칼리’ 를 찾아 나서는 설렘.대체 그 녀석은 누굴까? 남주를 서치하는 설렘의 두근두근 로맨스.,네이버,https://comic.naver.com/webtoon/list?titleId=785259,https://shared-comic.pstatic.net/thumb/webtoon/785259/thumbnail/thumbnail_IMAG06_82dce408-3990-43aa-8fb4-900f0bf86798.jpg
37,그들이 사귀는 세상,율로,X(완결),로맨스,"비연애를 선언한 그날, 세울의 인생에 한 번도 없었던 세 명의 남자가 눈 앞에 나타난다. 꿈에 그리던 이상형, 평생 친구일 줄 알았던 남사친, 그리고 현실적인 조건이 우수한 소개팅남까지 한꺼번에 등장한다. 세울은 과연 자신의 비연애에 대한 신념을 끝까지 지켜나갈 수 있을까?",네이버,https://comic.naver.com/webtoon/list?titleId=764130,https://shared-comic.pstatic.net/thumb/webtoon/764130/thumbnail/thumbnail_IMAG06_fc6a1eb9-9a37-4567-9ec5-a090749189da.jpg
38,오빠세끼,올리브유,X(완결),일상,"우리학교 인기남 3인방이 누군가에게는 노답 친오빠!?주목받는건 질색! 조용하고 존재감 없는 평범한 삶을 추구하는 해주에게는 걸어만 다녀도 튀게 잘생긴 오빠들이 있다.해주는 오빠들의 동생임을 숨기며 학교를 다니지만, 결국 들켜버리게 되는데...과연 해주는 오빠들이 있는 학교에서 자신의 목표를 이룰수 있을까?",네이버,https://comic.naver.com/webtoon/list?titleId=758659,https://shared-comic.pstatic.net/thumb/webtoon/758659/thumbnail/thumbnail_IMAG06_07ad95b1-6a6e-45bb-8f8d-78b1712faf1e.jpg
39,그녀의 육하원칙,일삼구,X(완결),스릴러,"같은 반 남학생 '주하원'을 주인공으로 소설을 쓰는 '정민'.그의 말투, 행동, 표정 하나하나가 소설의 소재가 된다.하지만, 완벽한 줄로만 알았던 하원의 실체를 알아버린 정민은 밀려오는 배신감에 소설 속 하원을 죽여버리고 만다.다음 날, 학교에서 벌어진 의문의 살인사건. 그런데 어쩐지 하원이 수상하다!2021 지상최대공모전 2기 장려상 수상작.",네이버,https://comic.naver.com/webtoon/list?titleId=793863,https://shared-comic.pstatic.net/thumb/webtoon/793863/thumbnail/thumbnail_IMAG06_9fd9008d-6135-48a8-8400-aa776a6d7e3e.jpg
40,루머의 법칙,"T그린, BB추",X(완결),로맨스,"서운대 완벽여신 안다름의 완.벽.한. 추락. 바로……엿같은 익명의 대학 커뮤니티 어플, '캠모' 때문에…!모든 걸 포기하고 싶던 순간.그녀의 손을 잡아준 유일한 사람, 이무열.그리고 그녀를 유혹하는 무열의 의미심장한 한 마디….“원한다면, 범인이 누군지 알려줄 수 있을 것 같은데.”각기 다른 이유로 루머의 중심에 선 네 남녀가 뭉쳤다!교내 대중의 심판대, 캠모에서전교생을 휘두르는 익명의 범인을 찾기 위해!낭만 가득 캠퍼스에서의심과 함께 피어오르는 두 커플의 핑크빛 기류.지금부터 그들의 익명 추적 로코가 시작된다…!",네이버,https://comic.naver.com/webtoon/list?titleId=801249,https://shared-comic.pstatic.net/thumb/webtoon/801249/thumbnail/thumbnail_IMAG06_95a47639-3c92-4ff9-8dde-f05df200eeb2.jpg
41,사이코패스 히어로,"주삼술, 매실",X(완결),드라마,"좀비가 창궐한 세상, 자아를 가진 사이코패스 좀비가 인류를 구한다?!",네이버,https://comic.naver.com/webtoon/list?titleId=801251,https://shared-comic.pstatic.net/thumb/webtoon/801251/thumbnail/thumbnail_IMAG06_b6cf68a7-f697-42d1-ab9d-0a5fca98542c.jpg
42,싸이코 리벤지,"기송, 넴가",X(완결),액션,종잡을 수 없는 싸이코 스트리머 네온마스크가전국의 모든 일진조직들을 상대로 전쟁을 벌인다.“너희가 나의 가족을 빼앗았으니나는 너희의 모든 걸 짓밟아주마.”,네이버,https://comic.naver.com/webtoon/list?titleId=753858,https://shared-comic.pstatic.net/thumb/webtoon/753858/thumbnail/thumbnail_IMAG06_be30b6ec-39bb-46b5-9f58-7910f748ff43.jpg
43,"나를 길들여 봐, 차비서","홍주, 글쓰는 귀신",X(완결),로맨스,"개망나니 재벌2세를 사람 만들면 3억을 받는다!뛰어난 외모와 우월한 피지컬을 가졌지만 망나니처럼 행동하는재벌2세 강주원을 간신히 사람 구실하게 만들어놨더니,나 좋다고 달려드니 이를 어째!돈만을 위해 악착같이 살아온 차영애는 3억과 사랑 사이에서갈피를 잡기 어렵다.",네이버,https://comic.naver.com/webtoon/list?titleId=776134,https://shared-comic.pstatic.net/thumb/webtoon/776134/thumbnail/thumbnail_IMAG06_bd68500b-8268-41b5-b472-ba695af0d8f7.jpg
